"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"146","age_group55-64",0.328300108152051,0.0361187152082767,-30.8379497615367,8.1264605439745e-209,0.305821441484918,0.352337197541406,"s_2024","fit_agr_sex_immuno"
"147","immunosuppressed1",0.92971155592772,0.0231247336323058,-3.151642609947,0.00162354858456544,0.88856374604183,0.9728765731846,"s_2024","fit_agr_sex_immuno"
"148","sexMale",1.23784191802332,0.00806960333825849,26.4411354246621,4.61423216290492e-154,1.2184206229139,1.25757814541733,"s_2024","fit_agr_sex_immuno"
"149","(Intercept)",1.73753260256104,0.0107567437482131,51.3599724299883,0,1.7012978208005,1.77456833254323,"s_2024","fit_all"
"150","age_group65-74",0.424449435113052,0.0338411383349901,-25.3230960549884,1.77862321278813e-141,0.397179986690524,0.453523615147275,"s_2024","fit_all"
"151","age_group85-94",1.05186580497236,0.00977554415674309,5.17265776254413,2.30787494829121e-07,1.03191133596032,1.07222112897363,"s_2024","fit_all"
"152","age_group>=95",0.782722770526957,0.029617060787981,-8.27147258362304,1.32314458317721e-16,0.738604547674213,0.829535945828228,"s_2024","fit_all"
"153","age_group<=34",0.168829844720493,0.0782984125451295,-22.719029025103,2.90559550009549e-114,0.144529011652627,0.196475436233677,"s_2024","fit_all"
"154","age_group35-44",0.17902834962326,0.067471468931473,-25.49538545908,2.21778081769146e-143,0.156641061460004,0.204081326465676,"s_2024","fit_all"
"155","age_group45-54",0.255023968988347,0.0478369778922829,-28.5636301123604,1.90237199393488e-179,0.232104122581146,0.279980962744366,"s_2024","fit_all"
"156","age_group55-64",0.318814039019238,0.0364593999934006,-31.3539799384645,8.58660891634926e-216,0.296787241529272,0.342385795846656,"s_2024","fit_all"
"157","immunosuppressed1",0.923292129271278,0.0233449209893509,-3.41871342545877,0.000629179533663255,0.882046971956324,0.966575281341312,"s_2024","fit_all"
"158","imdQ1",1.17062124502363,0.0140200940276285,11.2363430824793,2.70350896081453e-29,1.13890893206846,1.20325315489106,"s_2024","fit_all"
"159","imdQ2",0.910840343164009,0.0126369977238235,-7.39001886422402,1.46807984125031e-13,0.888560872574861,0.933685348797414,"s_2024","fit_all"
"160","imdQ4",0.953602355537921,0.0106798325148193,-4.44843235651485,8.64992807146907e-06,0.933848642450218,0.973773429366658,"s_2024","fit_all"
"161","imdQ5",0.857260069437361,0.0132459083976902,-11.6272842054611,2.99474281124596e-31,0.83529320523296,0.879810084853998,"s_2024","fit_all"
"162","regionWales",0.634992646696816,0.00906111855685376,-50.1198452831189,0,0.623813788676787,0.646369240426202,"s_2024","fit_all"
"163","regionNorthern Ireland",0.501261412409076,0.0139682730041573,-49.4425855305513,0,0.487721184918054,0.515171039392514,"s_2024","fit_all"
"164","regionEngland",1.06647971893669,0.0307578252592267,2.09258105011717,0.0363865696374744,1.00422083253307,1.1329077619817,"s_2024","fit_all"
"165","ethnicityblack",0.516977749433668,0.174027695753805,-3.79109451738713,0.000149984858570124,0.365892313122894,0.724828052297417,"s_2024","fit_all"
"166","ethnicityasian",0.446709468525934,0.0688010894262911,-11.7127048562434,1.09722455859437e-31,0.390091655819159,0.510895990067917,"s_2024","fit_all"
"167","ethnicitymissing",1.0716395009993,0.00836892813374644,8.26745296466522,1.36851205299053e-16,1.05420495275389,1.08936237085384,"s_2024","fit_all"
"168","sexMale",1.24594221980428,0.00814709247830645,26.990248033492,1.92367111738642e-160,1.22620773409355,1.26600001718722,"s_2024","fit_all"
"169","(Intercept)",1.79921344061861,0.00505974281889591,116.082894524216,0,1.78146728796371,1.81715340653991,"a_2024","fit_agr"
"170","age_group65-74",0.762789239550884,0.00650328139124555,-41.6364440625598,0,0.753126630093824,0.772572460900912,"a_2024","fit_agr"
"171","age_group85-94",0.959396807052573,0.010287798331965,-4.02909511336999,5.59919624144147e-05,0.94025415572296,0.978947306775918,"a_2024","fit_agr"
"172","age_group>=95",0.799976205027683,0.0328666621607811,-6.79026347063213,1.11928944810762e-11,0.750153648783512,0.853310544779946,"a_2024","fit_agr"
"173","age_group<=34",0.195999445262714,0.0696883581833321,-23.3847301404451,6.11227713477742e-121,0.170714570591383,0.224366245607407,"a_2024","fit_agr"
"174","age_group35-44",0.191554549228426,0.0584907661054734,-28.2537359072438,1.28060044501814e-175,0.170621162517256,0.214603512029994,"a_2024","fit_agr"
"175","age_group45-54",0.283093591283746,0.0395497067389786,-31.9086493634621,2.02561915588454e-223,0.261893071491613,0.305817218103025,"a_2024","fit_agr"
"176","age_group55-64",0.397421340448894,0.0271033316233255,-34.0459343875911,4.6619164321973e-254,0.376832031725498,0.419074354253176,"a_2024","fit_agr"
"177","(Intercept)",1.68226949195483,0.00572417690248635,90.8678712618436,0,1.66350830959003,1.7012567091071,"a_2024","fit_agr_sex"
"178","age_group65-74",0.759889488433663,0.0065095761783928,-42.1812816542402,0,0.750254332423664,0.769644991192376,"a_2024","fit_agr_sex"
"179","age_group85-94",0.968778126045093,0.0103013519650667,-3.07917499632422,0.00207574714330553,0.949423114236981,0.988546103628873,"a_2024","fit_agr_sex"
