"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2023-12-14,5,"a_2023",576
2023-12-14,6,"a_2023",108
2023-12-14,7,"a_2023",198
2023-12-14,8,"a_2023",11
2023-12-15,3,"a_2023",5
2023-12-15,4,"a_2023",27
2023-12-15,5,"a_2023",663
2023-12-15,6,"a_2023",116
2023-12-15,7,"a_2023",218
2023-12-15,8,"a_2023",9
2023-12-16,3,"a_2023",5
2023-12-16,4,"a_2023",6
2023-12-16,5,"a_2023",389
2023-12-16,6,"a_2023",28
2023-12-16,7,"a_2023",77
2023-12-16,8,"a_2023",5
2023-12-17,3,"a_2023",5
2023-12-17,4,"a_2023",8
2023-12-17,5,"a_2023",87
2023-12-17,6,"a_2023",18
2023-12-17,7,"a_2023",24
2023-12-18,3,"a_2023",5
2023-12-18,4,"a_2023",22
2023-12-18,5,"a_2023",440
2023-12-18,6,"a_2023",90
2023-12-18,7,"a_2023",203
2023-12-18,8,"a_2023",5
2023-12-19,3,"a_2023",5
2023-12-19,4,"a_2023",25
2023-12-19,5,"a_2023",391
2023-12-19,6,"a_2023",103
2023-12-19,7,"a_2023",131
2023-12-19,8,"a_2023",5
2023-12-20,4,"a_2023",17
2023-12-20,5,"a_2023",312
2023-12-20,6,"a_2023",68
2023-12-20,7,"a_2023",117
2023-12-20,8,"a_2023",5
2023-12-21,3,"a_2023",5
2023-12-21,4,"a_2023",9
2023-12-21,5,"a_2023",280
2023-12-21,6,"a_2023",73
2023-12-21,7,"a_2023",89
2023-12-21,8,"a_2023",5
2023-12-22,3,"a_2023",5
2023-12-22,4,"a_2023",8
2023-12-22,5,"a_2023",240
2023-12-22,6,"a_2023",54
2023-12-22,7,"a_2023",72
2023-12-22,8,"a_2023",5
2023-12-23,4,"a_2023",6
2023-12-23,5,"a_2023",168
2023-12-23,6,"a_2023",9
2023-12-23,7,"a_2023",20
2023-12-23,8,"a_2023",5
2023-12-24,4,"a_2023",5
2023-12-24,5,"a_2023",11
2023-12-24,6,"a_2023",5
2023-12-24,7,"a_2023",8
2023-12-24,8,"a_2023",5
2023-12-27,4,"a_2023",14
2023-12-27,5,"a_2023",135
2023-12-27,6,"a_2023",27
2023-12-27,7,"a_2023",89
2023-12-27,8,"a_2023",5
2023-12-28,3,"a_2023",5
2023-12-28,4,"a_2023",15
2023-12-28,5,"a_2023",342
2023-12-28,6,"a_2023",37
2023-12-28,7,"a_2023",61
2023-12-28,8,"a_2023",5
2023-12-29,4,"a_2023",6
2023-12-29,5,"a_2023",217
2023-12-29,6,"a_2023",30
2023-12-29,7,"a_2023",76
2023-12-29,8,"a_2023",5
2023-12-30,4,"a_2023",9
2023-12-30,5,"a_2023",48
2023-12-30,6,"a_2023",9
2023-12-30,7,"a_2023",13
2023-12-30,8,"a_2023",5
2023-12-31,5,"a_2023",5
2024-01-02,3,"a_2023",5
2024-01-02,4,"a_2023",5
2024-01-02,5,"a_2023",44
2024-01-02,6,"a_2023",14
2024-01-02,7,"a_2023",20
2024-01-02,8,"a_2023",5
2024-01-03,3,"a_2023",5
2024-01-03,4,"a_2023",9
2024-01-03,5,"a_2023",104
2024-01-03,6,"a_2023",30
2024-01-03,7,"a_2023",39
2024-01-03,8,"a_2023",9
2024-01-04,4,"a_2023",9
2024-01-04,5,"a_2023",320
2024-01-04,6,"a_2023",31
2024-01-04,7,"a_2023",66
2024-01-04,8,"a_2023",5
2024-01-05,3,"a_2023",5
2024-01-05,4,"a_2023",11
2024-01-05,5,"a_2023",84
2024-01-05,6,"a_2023",28
2024-01-05,7,"a_2023",46
2024-01-05,8,"a_2023",5
2024-01-06,3,"a_2023",5
2024-01-06,4,"a_2023",5
2024-01-06,5,"a_2023",34
2024-01-06,6,"a_2023",10
2024-01-06,7,"a_2023",28
2024-01-06,8,"a_2023",6
2024-01-07,3,"a_2023",5
2024-01-07,5,"a_2023",29
2024-01-07,6,"a_2023",5
2024-01-07,7,"a_2023",19
2024-01-07,8,"a_2023",5
2024-01-08,3,"a_2023",5
2024-01-08,4,"a_2023",8
2024-01-08,5,"a_2023",127
2024-01-08,6,"a_2023",46
2024-01-08,7,"a_2023",82
2024-01-08,8,"a_2023",7
2024-01-09,3,"a_2023",5
2024-01-09,4,"a_2023",5
2024-01-09,5,"a_2023",94
2024-01-09,6,"a_2023",24
2024-01-09,7,"a_2023",34
2024-01-09,8,"a_2023",5
2024-01-10,3,"a_2023",5
2024-01-10,4,"a_2023",6
2024-01-10,5,"a_2023",107
2024-01-10,6,"a_2023",26
2024-01-10,7,"a_2023",40
2024-01-11,4,"a_2023",5
2024-01-11,5,"a_2023",122
2024-01-11,6,"a_2023",22
